,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,title,studio,domestic_gross,foreign_gross,year
987,tt3530002,The Night Before,The Night Before,2015,101.0,"Adventure,Comedy,Fantasy",6.4,58455,The Night Before,Sony,43000000.0,9300000,2015
988,tt3531824,Nerve,Nerve,2016,96.0,"Action,Adventure,Crime",6.5,102782,Nerve,LGF,38600000.0,46700000,2016
989,tt3532216,American Made,American Made,2017,115.0,"Action,Biography,Comedy",7.2,131043,American Made,Uni.,51300000.0,83500000,2017
990,tt3544112,Sing Street,Sing Street,2016,106.0,"Comedy,Drama,Music",8.0,74651,Sing Street,Wein.,3200000.0,10400000,2016
991,tt3553976,Captain Fantastic,Captain Fantastic,2016,118.0,"Comedy,Drama",7.9,159329,Captain Fantastic,BST,5900000.0,16900000,2016
992,tt3564472,Girls Trip,Girls Trip,2017,122.0,"Comedy,Drama",6.2,29321,Girls Trip,Uni.,115200000.0,25400000,2017
993,tt3567288,The Visit,The Visit,2015,94.0,"Horror,Mystery,Thriller",6.2,102459,The Visit,Uni.,65200000.0,33200000,2015
994,tt3569230,Legend,Legend,2015,132.0,"Biography,Crime,Drama",7.0,138947,Legend,Uni.,1900000.0,41100000,2015
995,tt3606752,Cars 3,Cars 3,2017,102.0,"Adventure,Animation,Comedy",6.8,59408,Cars 3,BV,152900000.0,231000000,2017
996,tt3606756,Incredibles 2,Incredibles 2,2018,118.0,"Action,Adventure,Animation",7.7,203510,Incredibles 2,BV,608600000.0,634200000,2018
997,tt3614530,Jem and the Holograms,Jem and the Holograms,2015,118.0,"Adventure,Drama,Family",4.1,6683,Jem and the Holograms,Uni.,2200000.0,149000,2015
